"id,nameWithOwner,url,stargazersTotalCount,issuesTotalCount"
"MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,{'totalCount': 95144},{'totalCount': 117}"
"MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,https://github.com/public-apis/public-apis,{'totalCount': 81817},{'totalCount': 128}"
"MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,{'totalCount': 71550},{'totalCount': 296}"
"MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,tensorflow/models,https://github.com/tensorflow/models,{'totalCount': 63689},{'totalCount': 5296}"
"MDEwOlJlcG9zaXRvcnk4Mzg0NDcyMA==,ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,{'totalCount': 34109},{'totalCount': 985}"
"MDEwOlJlcG9zaXRvcnk4MTU5ODk2MQ==,python/cpython,https://github.com/python/cpython,{'totalCount': 31043},{'totalCount': 0}"
"MDEwOlJlcG9zaXRvcnkxMTQ3NDcyMjY=,deepfakes/faceswap,https://github.com/deepfakes/faceswap,{'totalCount': 30423},{'totalCount': 598}"
"MDEwOlJlcG9zaXRvcnk1ODAyODAzOA==,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,{'totalCount': 29735},{'totalCount': 1189}"
"MDEwOlJlcG9zaXRvcnkxMzk4MjQ0MjM=,Avik-Jain/100-Days-Of-ML-Code,https://github.com/Avik-Jain/100-Days-Of-ML-Code,{'totalCount': 28602},{'totalCount': 0}"
"MDEwOlJlcG9zaXRvcnk5MTU3MzUzOA==,testerSunshine/12306,https://github.com/testerSunshine/12306,{'totalCount': 28419},{'totalCount': 624}"
"MDEwOlJlcG9zaXRvcnkxOTExMTM3Mzk=,0voice/interview_internal_reference,https://github.com/0voice/interview_internal_reference,{'totalCount': 26750},{'totalCount': 36}"
"MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,huggingface/transformers,https://github.com/huggingface/transformers,{'totalCount': 26636},{'totalCount': 2924}"
"MDEwOlJlcG9zaXRvcnk3MDkwNTQ3OA==,floodsung/Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,{'totalCount': 26160},{'totalCount': 41}"
"MDEwOlJlcG9zaXRvcnk4MzExOTQzMQ==,apachecn/AiLearning,https://github.com/apachecn/AiLearning,{'totalCount': 24843},{'totalCount': 88}"
"MDEwOlJlcG9zaXRvcnk3MTk0ODQ5OA==,localstack/localstack,https://github.com/localstack/localstack,{'totalCount': 24450},{'totalCount': 1515}"
"MDEwOlJlcG9zaXRvcnkxMDU5MTk4MDM=,facebookresearch/Detectron,https://github.com/facebookresearch/Detectron,{'totalCount': 23229},{'totalCount': 883}"
"MDEwOlJlcG9zaXRvcnkxNTQ3NDc1Nzc=,google-research/bert,https://github.com/google-research/bert,{'totalCount': 22954},{'totalCount': 924}"
"MDEwOlJlcG9zaXRvcnkxMDE2ODQzNzQ=,satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython,{'totalCount': 20663},{'totalCount': 107}"
"MDEwOlJlcG9zaXRvcnk1NzIyMjMwMg==,openai/gym,https://github.com/openai/gym,{'totalCount': 20622},{'totalCount': 1108}"
"MDEwOlJlcG9zaXRvcnk0OTkzNTgxNA==,littlecodersh/ItChat,https://github.com/littlecodersh/ItChat,{'totalCount': 20335},{'totalCount': 800}"
"MDEwOlJlcG9zaXRvcnk3OTUxMDE2Nw==,pypa/pipenv,https://github.com/pypa/pipenv,{'totalCount': 20277},{'totalCount': 3021}"
"MDEwOlJlcG9zaXRvcnkxNDU1NTM2NzI=,fighting41love/funNLP,https://github.com/fighting41love/funNLP,{'totalCount': 20258},{'totalCount': 26}"
"MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,kon9chunkit/GitHub-Chinese-Top-Charts,https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts,{'totalCount': 19158},{'totalCount': 91}"
"MDEwOlJlcG9zaXRvcnk5MDU2MzU4NQ==,chubin/cheat.sh,https://github.com/chubin/cheat.sh,{'totalCount': 18691},{'totalCount': 120}"
"MDEwOlJlcG9zaXRvcnk1ODg0MjcwNw==,trailofbits/algo,https://github.com/trailofbits/algo,{'totalCount': 18219},{'totalCount': 1262}"
"MDEwOlJlcG9zaXRvcnk3NDA3MzIzMw==,keon/algorithms,https://github.com/keon/algorithms,{'totalCount': 17306},{'totalCount': 114}"
"MDEwOlJlcG9zaXRvcnkxODg2NjA2NjM=,CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,{'totalCount': 17282},{'totalCount': 297}"
"MDEwOlJlcG9zaXRvcnkxMDExMzgzMTU=,d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,{'totalCount': 17137},{'totalCount': 0}"
"MDEwOlJlcG9zaXRvcnk4MjcyOTUyOQ==,google/python-fire,https://github.com/google/python-fire,{'totalCount': 16837},{'totalCount': 166}"
"MDEwOlJlcG9zaXRvcnkxMDc1OTUyNzA=,matterport/Mask_RCNN,https://github.com/matterport/Mask_RCNN,{'totalCount': 16697},{'totalCount': 1965}"
"MDEwOlJlcG9zaXRvcnk4NDUzMzE1OA==,yunjey/pytorch-tutorial,https://github.com/yunjey/pytorch-tutorial,{'totalCount': 16583},{'totalCount': 154}"
"MDEwOlJlcG9zaXRvcnk4MDk5MDQ2MQ==,eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,{'totalCount': 16001},{'totalCount': 53}"
"MDEwOlJlcG9zaXRvcnkxMjUyNjYzMjg=,psf/black,https://github.com/psf/black,{'totalCount': 15968},{'totalCount': 972}"
"MDEwOlJlcG9zaXRvcnkxMzgzMzE1NzM=,sebastianruder/NLP-progress,https://github.com/sebastianruder/NLP-progress,{'totalCount': 15562},{'totalCount': 79}"
"MDEwOlJlcG9zaXRvcnkxNTAwNTg5MDI=,wangzheng0822/algo,https://github.com/wangzheng0822/algo,{'totalCount': 15071},{'totalCount': 100}"
"MDEwOlJlcG9zaXRvcnk1ODE1NzYyOQ==,tensorflow/magenta,https://github.com/tensorflow/magenta,{'totalCount': 15050},{'totalCount': 682}"
"MDEwOlJlcG9zaXRvcnk3MTIyMDc1Nw==,swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,{'totalCount': 14575},{'totalCount': 43}"
"MDEwOlJlcG9zaXRvcnkxNTEzMDA4NjI=,machinelearningmindset/TensorFlow-Course,https://github.com/machinelearningmindset/TensorFlow-Course,{'totalCount': 14406},{'totalCount': 10}"
"MDEwOlJlcG9zaXRvcnkxMzYwMjY3ODk=,iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,{'totalCount': 13995},{'totalCount': 648}"
"MDEwOlJlcG9zaXRvcnk2NTA4MzMxNg==,luong-komorebi/Awesome-Linux-Software,https://github.com/luong-komorebi/Awesome-Linux-Software,{'totalCount': 13930},{'totalCount': 99}"
"MDEwOlJlcG9zaXRvcnkxMTU2NzU3ODg=,wangshub/wechat_jump_game,https://github.com/wangshub/wechat_jump_game,{'totalCount': 13914},{'totalCount': 984}"
"MDEwOlJlcG9zaXRvcnk1OTcyMDE5MA==,huge-success/sanic,https://github.com/huge-success/sanic,{'totalCount': 13767},{'totalCount': 872}"
"MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,tiangolo/fastapi,https://github.com/tiangolo/fastapi,{'totalCount': 13675},{'totalCount': 986}"
"MDEwOlJlcG9zaXRvcnkxODIwOTczMDU=,cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,{'totalCount': 13436},{'totalCount': 96}"
"MDEwOlJlcG9zaXRvcnk2NjQyNDg3MQ==,pytorch/examples,https://github.com/pytorch/examples,{'totalCount': 12880},{'totalCount': 404}"
"MDEwOlJlcG9zaXRvcnkxMTg4NjEyNzY=,gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,{'totalCount': 12684},{'totalCount': 12}"
"MDEwOlJlcG9zaXRvcnkxNjI3MjMxMDQ=,OWASP/CheatSheetSeries,https://github.com/OWASP/CheatSheetSeries,{'totalCount': 12635},{'totalCount': 143}"
"MDEwOlJlcG9zaXRvcnk4MjU4ODU5Nw==,youfou/wxpy,https://github.com/youfou/wxpy,{'totalCount': 12165},{'totalCount': 422}"
"MDEwOlJlcG9zaXRvcnk4ODYxMjk0NQ==,junyanz/pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,{'totalCount': 11831},{'totalCount': 930}"
"MDEwOlJlcG9zaXRvcnkxNzAwNjcyNDY=,openai/gpt-2,https://github.com/openai/gpt-2,{'totalCount': 11694},{'totalCount': 189}"
"MDEwOlJlcG9zaXRvcnkxNjY2NDk5MzQ=,Kr1s77/awesome-python-login-model,https://github.com/Kr1s77/awesome-python-login-model,{'totalCount': 11573},{'totalCount': 77}"
"MDEwOlJlcG9zaXRvcnkxNjI5OTg0Nzk=,sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,{'totalCount': 11538},{'totalCount': 292}"
"MDEwOlJlcG9zaXRvcnk3MTkzMjM0OQ==,ray-project/ray,https://github.com/ray-project/ray,{'totalCount': 11517},{'totalCount': 3541}"
"MDEwOlJlcG9zaXRvcnkxOTYyODQ3MTE=,microsoft/cascadia-code,https://github.com/microsoft/cascadia-code,{'totalCount': 11334},{'totalCount': 222}"
"MDEwOlJlcG9zaXRvcnkyMTExMjQ2OTc=,deezer/spleeter,https://github.com/deezer/spleeter,{'totalCount': 11254},{'totalCount': 338}"
"MDEwOlJlcG9zaXRvcnkxNjQ0NzExODM=,pjialin/py12306,https://github.com/pjialin/py12306,{'totalCount': 11148},{'totalCount': 332}"
"MDEwOlJlcG9zaXRvcnk3NTcwMTU2Mg==,miloyip/game-programmer,https://github.com/miloyip/game-programmer,{'totalCount': 10879},{'totalCount': 32}"
